"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo"
"1198","MTL","TOR","Royal","Rush",18,31,2014-06-14,"2014-06-14-TOR-MTL","Rush","Royal","regular",1382.98342003341,1557.91053535329,1350.70529940292,1590.18865598378
"1199","SF","SEA","FlameThrowers","Cascades",23,17,2014-06-14,"2014-06-14-SEA-SF","FlameThrowers","Cascades","regular",1516.53901913686,1343.14748644221,1525.45344200574,1334.23306357333
"1200","ROC","PHI","Dragons","Phoenix",16,17,2014-06-14,"2014-06-14-PHI-ROC","Phoenix","Dragons","regular",1213.6431543594,1238.01349671269,1201.4373687736,1250.21928229849
"1201","DC","NY","Breeze","Empire",31,26,2014-06-14,"2014-06-14-NY-DC","Breeze","Empire","regular",1476.46285488722,1530.98653865399,1499.36784260948,1508.08155093173
"1202","MAD","MIN","Radicals","Wind Chill",23,15,2014-06-14,"2014-06-14-MIN-MAD","Radicals","Wind Chill","regular",1609.95600908892,1421.59084639346,1619.26689787466,1412.27995760772
"1203","DET","IND","Mechanix","AlleyCats",19,27,2014-06-14,"2014-06-14-IND-DET","AlleyCats","Mechanix","regular",1155.92806671766,1419.8267826385,1135.97154169099,1439.78330766518
"1196","OAK","SEA","Spiders","Cascades",24,21,2014-06-15,"2014-06-15-SEA-SJ","Spiders","Cascades","regular",1552.12284559412,1334.23306357333,1557.1465104867,1329.20939868075
"1197","MTL","PHI","Royal","Phoenix",24,19,2014-06-15,"2014-06-15-PHI-MTL","Royal","Phoenix","regular",1350.70529940292,1250.21928229849,1362.51584553146,1238.40873616996
"1195","MAD","CHI","Radicals","Union",24,19,2014-06-20,"2014-06-20-CHI-MAD","Radicals","Union","regular",1619.26689787466,1503.18988707799,1630.21935734391,1492.23742760875
"1189","VAN","OAK","Riptide","Spiders",25,37,2014-06-21,"2014-06-21-SJ-VAN","Spiders","Riptide","regular",1444.960147316,1557.1465104867,1407.62805241038,1594.47860539232
"1190","SAL","SF","Lions","FlameThrowers",22,31,2014-06-21,"2014-06-21-SF-SLC","FlameThrowers","Lions","regular",1143.23050151081,1525.45344200574,1130.18941176755,1538.494531749
"1191","MTL","PHI","Royal","Phoenix",31,19,2014-06-21,"2014-06-21-PHI-MTL","Royal","Phoenix","regular",1362.51584553146,1238.40873616996,1377.58909066562,1223.33549103579
"1192","TOR","NY","Rush","Empire",21,18,2014-06-21,"2014-06-21-NY-TOR","Rush","Empire","regular",1590.18865598378,1508.08155093173,1600.15794716328,1498.11225975223
"1193","IND","CIN","AlleyCats","Revolution",23,22,2014-06-21,"2014-06-21-CIN-IND","AlleyCats","Revolution","regular",1439.78330766518,1289.50840808346,1443.35752584736,1285.93418990128
"1194","MIN","CHI","Wind Chill","Union",22,19,2014-06-21,"2014-06-21-CHI-MIN","Wind Chill","Union","regular",1412.27995760772,1492.23742760875,1431.69921949763,1472.81816571883
"1185","SEA","OAK","Cascades","Spiders",14,22,2014-06-22,"2014-06-22-SJ-SEA","Spiders","Cascades","regular",1329.20939868075,1594.47860539232,1309.35263736683,1614.33536670625
"1186","SAL","SF","Lions","FlameThrowers",25,33,2014-06-22,"2014-06-22-SF-SLC","FlameThrowers","Lions","regular",1130.18941176755,1538.494531749,1119.07735411557,1549.60658940097
"1187","TOR","PHI","Rush","Phoenix",29,15,2014-06-22,"2014-06-22-PHI-TOR","Rush","Phoenix","regular",1600.15794716328,1223.33549103579,1604.18954320454,1219.30389499453
"1188","ROC","NY","Dragons","Empire",9,25,2014-06-22,"2014-06-22-NY-ROC","Empire","Dragons","regular",1201.4373687736,1498.11225975223,1178.68420643662,1520.86542208921
"1183","MIN","DET","Wind Chill","Mechanix",42,16,2014-06-27,"2014-06-27-DET-MIN","Wind Chill","Mechanix","regular",1431.69921949763,1135.97154169099,1439.48956511226,1128.18119607636
"1184","IND","CIN","AlleyCats","Revolution",29,15,2014-06-27,"2014-06-27-CIN-IND","AlleyCats","Revolution","regular",1443.35752584736,1285.93418990128,1456.82359407509,1272.46812167355
"1177","SF","VAN","FlameThrowers","Riptide",23,18,2014-06-28,"2014-06-28-VAN-SF","FlameThrowers","Riptide","regular",1549.60658940097,1407.62805241038,1559.24046831587,1397.99417349548
"1178","ROC","TOR","Dragons","Rush",20,29,2014-06-28,"2014-06-28-TOR-ROC","Rush","Dragons","regular",1178.68420643662,1604.18954320454,1167.89281607937,1614.98093356179
"1179","OAK","SAL","Spiders","Lions",37,12,2014-06-28,"2014-06-28-SLC-SJ","Spiders","Lions","regular",1614.33536670625,1119.07735411557,1616.75668445083,1116.65603637099
"1180","MAD","DET","Radicals","Mechanix",28,9,2014-06-28,"2014-06-28-DET-MAD","Radicals","Mechanix","regular",1630.21935734391,1128.18119607636,1632.35787021947,1126.0426832008
"1181","MTL","DC","Royal","Breeze",20,29,2014-06-28,"2014-06-28-DC-MTL","Breeze","Royal","regular",1377.58909066562,1499.36784260948,1344.88880732757,1532.06812594753
"1182","CHI","CIN","Union","Revolution",21,11,2014-06-28,"2014-06-28-CIN-CHI","Union","Revolution","regular",1472.81816571883,1272.46812167355,1482.35816587429,1262.92812151809
"1175","VAN","SEA","Riptide","Cascades",28,26,2014-06-29,"2014-06-29-SEA-VAN","Riptide","Cascades","regular",1397.99417349548,1309.35263736683,1405.65558681334,1301.69122404897
"1176","NY","DC","Empire","Breeze",21,13,2014-06-29,"2014-06-29-DC-NY","Empire","Breeze","regular",1520.86542208921,1532.06812594753,1544.62025650044,1508.3132915363
"1171","PHI","ROC","Phoenix","Dragons",28,23,2014-07-05,"2014-07-05-ROC-PHI","Phoenix","Dragons","regular",1219.30389499453,1167.89281607937,1234.13603694508,1153.06067412882
"1172","DC","NY","Breeze","Empire",23,31,2014-07-05,"2014-07-05-NY-DC","Empire","Breeze","regular",1508.3132915363,1544.62025650044,1470.4751410028,1582.45840703394
"1173","TOR","MTL","Rush","Royal",19,20,2014-07-05,"2014-07-05-MTL-TOR","Royal","Rush","regular",1614.98093356179,1344.88880732757,1599.07082246075,1360.79891842861
"1174","CIN","DET","Revolution","Mechanix",24,20,2014-07-05,"2014-07-05-DET-CIN","Revolution","Mechanix","regular",1262.92812151809,1126.0426832008,1271.80524420594,1117.16556051294
"1170","PHI","DC","Phoenix","Breeze",20,25,2014-07-06,"2014-07-06-DC-PHI","Breeze","Phoenix","regular",1234.13603694508,1470.4751410028,1216.18384533908,1488.4273326088
"1166","SEA","VAN","Cascades","Riptide",18,21,2014-07-12,"2014-07-12-VAN-SEA","Riptide","Cascades","regular",1301.69122404897,1405.65558681334,1281.09695944481,1426.24985141749
"1167","PHI","TOR","Phoenix","Rush",18,24,2014-07-12,"2014-07-12-TOR-PHI","Rush","Phoenix","regular",1216.18384533908,1599.07082246075,1205.19419043718,1610.06047736265
