"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type"
"1193","IND","CIN","AlleyCats","Revolution",23,22,2014-06-21,"2014-06-21-CIN-IND","AlleyCats","Revolution","regular"
"1194","MIN","CHI","Wind Chill","Union",22,19,2014-06-21,"2014-06-21-CHI-MIN","Wind Chill","Union","regular"
"1185","SEA","OAK","Cascades","Spiders",14,22,2014-06-22,"2014-06-22-SJ-SEA","Spiders","Cascades","regular"
"1186","SAL","SF","Lions","FlameThrowers",25,33,2014-06-22,"2014-06-22-SF-SLC","FlameThrowers","Lions","regular"
"1187","TOR","PHI","Rush","Phoenix",29,15,2014-06-22,"2014-06-22-PHI-TOR","Rush","Phoenix","regular"
"1188","ROC","NY","Dragons","Empire",9,25,2014-06-22,"2014-06-22-NY-ROC","Empire","Dragons","regular"
"1183","MIN","DET","Wind Chill","Mechanix",42,16,2014-06-27,"2014-06-27-DET-MIN","Wind Chill","Mechanix","regular"
"1184","IND","CIN","AlleyCats","Revolution",29,15,2014-06-27,"2014-06-27-CIN-IND","AlleyCats","Revolution","regular"
"1177","SF","VAN","FlameThrowers","Riptide",23,18,2014-06-28,"2014-06-28-VAN-SF","FlameThrowers","Riptide","regular"
"1178","ROC","TOR","Dragons","Rush",20,29,2014-06-28,"2014-06-28-TOR-ROC","Rush","Dragons","regular"
"1179","OAK","SAL","Spiders","Lions",37,12,2014-06-28,"2014-06-28-SLC-SJ","Spiders","Lions","regular"
"1180","MAD","DET","Radicals","Mechanix",28,9,2014-06-28,"2014-06-28-DET-MAD","Radicals","Mechanix","regular"
"1181","MTL","DC","Royal","Breeze",20,29,2014-06-28,"2014-06-28-DC-MTL","Breeze","Royal","regular"
"1182","CHI","CIN","Union","Revolution",21,11,2014-06-28,"2014-06-28-CIN-CHI","Union","Revolution","regular"
"1175","VAN","SEA","Riptide","Cascades",28,26,2014-06-29,"2014-06-29-SEA-VAN","Riptide","Cascades","regular"
"1176","NY","DC","Empire","Breeze",21,13,2014-06-29,"2014-06-29-DC-NY","Empire","Breeze","regular"
"1171","PHI","ROC","Phoenix","Dragons",28,23,2014-07-05,"2014-07-05-ROC-PHI","Phoenix","Dragons","regular"
"1172","DC","NY","Breeze","Empire",23,31,2014-07-05,"2014-07-05-NY-DC","Empire","Breeze","regular"
"1173","TOR","MTL","Rush","Royal",19,20,2014-07-05,"2014-07-05-MTL-TOR","Royal","Rush","regular"
"1174","CIN","DET","Revolution","Mechanix",24,20,2014-07-05,"2014-07-05-DET-CIN","Revolution","Mechanix","regular"
"1170","PHI","DC","Phoenix","Breeze",20,25,2014-07-06,"2014-07-06-DC-PHI","Breeze","Phoenix","regular"
"1166","SEA","VAN","Cascades","Riptide",18,21,2014-07-12,"2014-07-12-VAN-SEA","Riptide","Cascades","regular"
"1167","PHI","TOR","Phoenix","Rush",18,24,2014-07-12,"2014-07-12-TOR-PHI","Rush","Phoenix","regular"
"1168","SF","OAK","FlameThrowers","Spiders",17,23,2014-07-12,"2014-07-12-SJ-SF","Spiders","FlameThrowers","regular"
"1169","NY","DC","Empire","Breeze",13,14,2014-07-12,"2014-07-12-DC-NY","Breeze","Empire","regular"
"1165","MIN","IND","Wind Chill","AlleyCats",25,15,2014-07-13,"2014-07-13-IND-MIN","Wind Chill","AlleyCats","regular"
"1164","OAK","SF","Spiders","FlameThrowers",26,16,2014-07-18,"2014-07-18-SF-SJ","Spiders","FlameThrowers","playoff"
"1161","MAD","IND","Radicals","AlleyCats",25,16,2014-07-19,"2014-07-19-IND-MAD","Radicals","AlleyCats","playoff"
"1162","TOR","DC","Rush","Breeze",37,12,2014-07-19,"2014-07-19-DC-TOR","Rush","Breeze","playoff"
"1163","NY","CHI","Empire","Union",22,17,2014-07-19,"2014-07-19-CHI-NY","Empire","Union","playoff"
"1159","TOR","NY","Rush","Empire",31,16,2014-07-26,"2014-07-26-NY-TOR","Rush","Empire","semi"
"1160","OAK","MAD","Spiders","Radicals",23,20,2014-07-26,"2014-07-26-MAD-SJ","Spiders","Radicals","semi"
"1158","TOR","OAK","Rush","Spiders",18,28,2014-07-27,"2014-07-27-SJ-TOR","Spiders","Rush","championship"
"1152","SF","VAN","FlameThrowers","Riptide",26,25,2015-04-11,"2015-04-11-VAN-SF","FlameThrowers","Riptide","regular"
"1153","DC","TOR","Breeze","Rush",17,37,2015-04-11,"2015-04-11-TOR-DC","Rush","Breeze","regular"
"1154","LA","SEA","Aviators","Cascades",20,29,2015-04-11,"2015-04-11-SEA-LA","Cascades","Aviators","regular"
"1155","IND","PIT","AlleyCats","Thunderbirds",20,28,2015-04-11,"2015-04-11-PIT-IND","Thunderbirds","AlleyCats","regular"
"1156","CIN","DET","Revolution","Mechanix",25,17,2015-04-11,"2015-04-11-DET-CIN","Revolution","Mechanix","regular"
"1157","CAR","ATL","Flyers","Hustle",29,22,2015-04-11,"2015-04-11-ATL-RAL","Flyers","Hustle","regular"
"1147","OAK","VAN","Spiders","Riptide",32,26,2015-04-12,"2015-04-12-VAN-SJ","Spiders","Riptide","regular"
"1148","PHI","TOR","Phoenix","Rush",21,26,2015-04-12,"2015-04-12-TOR-PHI","Rush","Phoenix","regular"
"1149","SD","SEA","Growlers","Cascades",22,26,2015-04-12,"2015-04-12-SEA-SD","Cascades","Growlers","regular"
"1150","NY","MTL","Empire","Royal",22,20,2015-04-12,"2015-04-12-MTL-NY","Empire","Royal","regular"
"1151","CHA","ATL","Express","Hustle",25,27,2015-04-12,"2015-04-12-ATL-CHA","Hustle","Express","regular"
"1140","SEA","VAN","Cascades","Riptide",20,21,2015-04-18,"2015-04-18-VAN-SEA","Riptide","Cascades","regular"
"1141","OAK","SF","Spiders","FlameThrowers",29,26,2015-04-18,"2015-04-18-SF-SJ","Spiders","FlameThrowers","regular"
"1142","DC","OTT","Breeze","Outlaws",23,19,2015-04-18,"2015-04-18-OTT-DC","Breeze","Outlaws","regular"
"1143","IND","MAD","AlleyCats","Radicals",18,26,2015-04-18,"2015-04-18-MAD-IND","Radicals","AlleyCats","regular"
"1144","SD","LA","Growlers","Aviators",23,25,2015-04-18,"2015-04-18-LA-SD","Aviators","Growlers","regular"
"1145","CAR","TB","Flyers","Cannons",33,26,2015-04-18,"2015-04-18-JAX-RAL","Flyers","Cannons","regular"
"1146","NSH","ATL","Nightwatch","Hustle",17,23,2015-04-18,"2015-04-18-ATL-NSH","Hustle","Nightwatch","regular"
"1137","PHI","OTT","Phoenix","Outlaws",15,18,2015-04-19,"2015-04-19-OTT-PHI","Outlaws","Phoenix","regular"
"1138","CIN","MAD","Revolution","Radicals",9,23,2015-04-19,"2015-04-19-MAD-CIN","Radicals","Revolution","regular"
"1139","CHA","TB","Express","Cannons",19,21,2015-04-19,"2015-04-19-JAX-CHA","Cannons","Express","regular"
"1136","IND","CIN","AlleyCats","Revolution",25,9,2015-04-24,"2015-04-24-CIN-IND","AlleyCats","Revolution","regular"
"1128","OTT","TOR","Outlaws","Rush",19,23,2015-04-25,"2015-04-25-TOR-OTT","Rush","Outlaws","regular"
"1129","VAN","SEA","Riptide","Cascades",22,26,2015-04-25,"2015-04-25-SEA-VAN","Cascades","Riptide","regular"
"1130","SF","SD","FlameThrowers","Growlers",27,22,2015-04-25,"2015-04-25-SD-SF","FlameThrowers","Growlers","regular"
"1131","NY","PHI","Empire","Phoenix",27,17,2015-04-25,"2015-04-25-PHI-NY","Empire","Phoenix","regular"
"1132","CHI","MIN","Union","Wind Chill",20,14,2015-04-25,"2015-04-25-MIN-CHI","Union","Wind Chill","regular"
"1133","NSH","TB","Nightwatch","Cannons",20,18,2015-04-25,"2015-04-25-JAX-NSH","Nightwatch","Cannons","regular"
"1134","MAD","DET","Radicals","Mechanix",35,12,2015-04-25,"2015-04-25-DET-MAD","Radicals","Mechanix","regular"
"1135","PIT","CIN","Thunderbirds","Revolution",30,16,2015-04-25,"2015-04-25-CIN-PIT","Thunderbirds","Revolution","regular"
"1125","MTL","TOR","Royal","Rush",27,26,2015-04-26,"2015-04-26-TOR-MTL","Royal","Rush","regular"
"1126","OAK","SD","Spiders","Growlers",31,18,2015-04-26,"2015-04-26-SD-SJ","Spiders","Growlers","regular"
"1127","ATL","TB","Hustle","Cannons",23,20,2015-04-26,"2015-04-26-JAX-ATL","Hustle","Cannons","regular"
"1124","IND","CHI","AlleyCats","Union",23,22,2015-05-01,"2015-05-01-CHI-IND","AlleyCats","Union","regular"
"1116","SD","OAK","Growlers","Spiders",21,23,2015-05-02,"2015-05-02-SJ-SD","Spiders","Growlers","regular"
"1117","MAD","PIT","Radicals","Thunderbirds",24,18,2015-05-02,"2015-05-02-PIT-MAD","Radicals","Thunderbirds","regular"
"1118","ROC","OTT","Dragons","Outlaws",18,24,2015-05-02,"2015-05-02-OTT-ROC","Outlaws","Dragons","regular"
"1119","TB","NSH","Cannons","Nightwatch",23,18,2015-05-02,"2015-05-02-NSH-JAX","Cannons","Nightwatch","regular"
"1120","PHI","MTL","Phoenix","Royal",18,23,2015-05-02,"2015-05-02-MTL-PHI","Royal","Phoenix","regular"
"1121","DET","IND","Mechanix","AlleyCats",16,30,2015-05-02,"2015-05-02-IND-DET","AlleyCats","Mechanix","regular"
"1122","CIN","CHI","Revolution","Union",18,27,2015-05-02,"2015-05-02-CHI-CIN","Union","Revolution","regular"
"1123","CAR","CHA","Flyers","Express",34,22,2015-05-02,"2015-05-02-CHA-RAL","Flyers","Express","regular"
"1111","LA","OAK","Aviators","Spiders",19,20,2015-05-03,"2015-05-03-SJ-LA","Spiders","Aviators","regular"
"1112","MIN","PIT","Wind Chill","Thunderbirds",17,30,2015-05-03,"2015-05-03-PIT-MIN","Thunderbirds","Wind Chill","regular"
"1113","NY","OTT","Empire","Outlaws",24,17,2015-05-03,"2015-05-03-OTT-NY","Empire","Outlaws","regular"
"1114","ATL","NSH","Hustle","Nightwatch",30,20,2015-05-03,"2015-05-03-NSH-ATL","Hustle","Nightwatch","regular"
"1115","DC","MTL","Breeze","Royal",20,21,2015-05-03,"2015-05-03-MTL-DC","Royal","Breeze","regular"
"1110","CIN","IND","Revolution","AlleyCats",23,27,2015-05-08,"2015-05-08-IND-CIN","AlleyCats","Revolution","regular"
"1102","SF","OAK","FlameThrowers","Spiders",18,20,2015-05-09,"2015-05-09-SJ-SF","Spiders","FlameThrowers","regular"
"1103","SEA","SD","Cascades","Growlers",19,21,2015-05-09,"2015-05-09-SD-SEA","Growlers","Cascades","regular"
"1104","ATL","CAR","Hustle","Flyers",29,28,2015-05-09,"2015-05-09-RAL-ATL","Hustle","Flyers","regular"
"1105","TOR","NY","Rush","Empire",28,25,2015-05-09,"2015-05-09-NY-TOR","Rush","Empire","regular"
"1106","PIT","MIN","Thunderbirds","Wind Chill",28,22,2015-05-09,"2015-05-09-MIN-PIT","Thunderbirds","Wind Chill","regular"
"1107","CHI","IND","Union","AlleyCats",24,22,2015-05-09,"2015-05-09-IND-CHI","Union","AlleyCats","regular"
"1108","PHI","DC","Phoenix","Breeze",29,30,2015-05-09,"2015-05-09-DC-PHI","Breeze","Phoenix","regular"
"1109","TB","CHA","Cannons","Express",26,17,2015-05-09,"2015-05-09-CHA-JAX","Cannons","Express","regular"
"1098","LA","SEA","Aviators","Cascades",20,17,2015-05-10,"2015-05-10-SEA-LA","Aviators","Cascades","regular"
"1099","VAN","SD","Riptide","Growlers",27,29,2015-05-10,"2015-05-10-SD-VAN","Growlers","Riptide","regular"
"1100","NSH","CAR","Nightwatch","Flyers",21,22,2015-05-10,"2015-05-10-RAL-NSH","Flyers","Nightwatch","regular"
"1101","DET","MIN","Mechanix","Wind Chill",20,27,2015-05-10,"2015-05-10-MIN-DET","Wind Chill","Mechanix","regular"
"1095","OAK","SF","Spiders","FlameThrowers",20,15,2015-05-15,"2015-05-15-SF-SJ","Spiders","FlameThrowers","regular"
"1096","DET","IND","Mechanix","AlleyCats",18,28,2015-05-15,"2015-05-15-IND-DET","AlleyCats","Mechanix","regular"
